底部横盘扫描 2026-08-13 12:52 共12只
代码,名称,现价,回撤%,60日%,20日振幅%,10日振幅%,区间下沿,区间上沿,位置%,量比
600372,中航机载,11.32,33.0,-7.6,6.42,3.94,10.90,11.60,60,0.88
600029,南方航空,5.07,40.1,-5.2,6.65,4.75,4.96,5.29,33,0.93
600959,江苏有线,3.14,35.0,-21.1,7.77,5.63,2.96,3.19,78,0.92
002223,鱼跃医疗,27.19,35.2,-3.7,7.84,6.66,26.41,28.48,38,0.97
000581,威孚高科,17.45,32.9,-12.5,8.65,5.12,16.64,18.08,56,0.75
002296,辉煌科技,9.14,39.7,-22.0,8.70,4.11,8.39,9.12,103,1.00
000858,五 粮 液,75.79,31.6,-12.2,8.97,6.53,72.35,78.84,53,0.89
000631,顺发恒能,3.08,32.2,-11.2,8.99,5.94,2.78,3.03,120,1.02
600038,中直股份,26.84,31.7,-10.1,9.08,4.74,25.10,27.38,76,0.84
600765,中航重机,13.57,38.4,-13.3,9.87,4.82,12.67,13.92,72,0.90
000860,顺鑫农业,10.94,31.2,-7.9,9.87,7.58,10.33,11.35,60,0.87
002204,大连重工,5.39,31.9,-14.3,9.88,5.70,5.06,5.56,66,0.80
